"id","name","party","rank","title","committee"
"N000181","Devin Nunes","majority",1,"Chair","HLIG"
"M001144","Jeff Miller","majority",2,"Member","HLIG"
"C001062","K. Michael Conaway","majority",3,"Member","HLIG"
"K000210","Peter T. King","majority",4,"Member","HLIG"
"L000554","Frank A. LoBiondo","majority",5,"Member","HLIG"
"W000796","Lynn A. Westmoreland","majority",6,"Member","HLIG"
"R000583","Thomas J. Rooney","majority",7,"Member","HLIG"
"H001055","Joseph J. Heck","majority",8,"Member","HLIG"
"P000602","Mike Pompeo","majority",9,"Member","HLIG"
"R000435","Ileana Ros-Lehtinen","majority",10,"Member","HLIG"
"T000463","Michael R. Turner","majority",11,"Member","HLIG"
"W000815","Brad R. Wenstrup","majority",12,"Member","HLIG"
"S001192","Chris Stewart","majority",13,"Member","HLIG"
"S001150","Adam B. Schiff","minority",1,"Ranking Member","HLIG"
"G000535","Luis V. Gutiérrez","minority",2,"Member","HLIG"
"H001047","James A. Himes","minority",3,"Member","HLIG"
"S001185","Terri A. Sewell","minority",4,"Member","HLIG"
"C001072","André Carson","minority",5,"Member","HLIG"
"S001175","Jackie Speier","minority",6,"Member","HLIG"
"Q000023","Mike Quigley","minority",7,"Member","HLIG"
"S001193","Eric Swalwell","minority",8,"Member","HLIG"
"M001191","Patrick Murphy","minority",9,"Member","HLIG"
"L000554","Frank A. LoBiondo","majority",1,"Chair","HLIG01"
"C001062","K. Michael Conaway","majority",2,"Member","HLIG01"
"K000210","Peter T. King","majority",3,"Member","HLIG01"
"W000796","Lynn A. Westmoreland","majority",4,"Member","HLIG01"
"R000583","Thomas J. Rooney","majority",5,"Member","HLIG01"
"P000602","Mike Pompeo","majority",6,"Member","HLIG01"
"S001193","Eric Swalwell","minority",1,"Ranking Member","HLIG01"
"G000535","Luis V. Gutiérrez","minority",2,"Member","HLIG01"
"H001047","James A. Himes","minority",3,"Member","HLIG01"
"C001072","André Carson","minority",4,"Member","HLIG01"
"W000796","Lynn A. Westmoreland","majority",1,"Chair","HLIG02"
"M001144","Jeff Miller","majority",2,"Member","HLIG02"
"C001062","K. Michael Conaway","majority",3,"Member","HLIG02"
"K000210","Peter T. King","majority",4,"Member","HLIG02"
"P000602","Mike Pompeo","majority",5,"Member","HLIG02"
"R000435","Ileana Ros-Lehtinen","majority",6,"Member","HLIG02"
"H001047","James A. Himes","minority",1,"Ranking Member","HLIG02"
"S001175","Jackie Speier","minority",2,"Member","HLIG02"
"Q000023","Mike Quigley","minority",3,"Member","HLIG02"
"M001191","Patrick Murphy","minority",4,"Member","HLIG02"
"R000583","Thomas J. Rooney","majority",1,"Chair","HLIG03"
"L000554","Frank A. LoBiondo","majority",2,"Member","HLIG03"
"H001055","Joseph J. Heck","majority",3,"Member","HLIG03"
"T000463","Michael R. Turner","majority",4,"Member","HLIG03"
"W000815","Brad R. Wenstrup","majority",5,"Member","HLIG03"
"S001192","Chris Stewart","majority",6,"Member","HLIG03"
"Q000023","Mike Quigley","minority",1,"Ranking Member","HLIG03"
"S001185","Terri A. Sewell","minority",2,"Member","HLIG03"
"C001072","André Carson","minority",3,"Member","HLIG03"
"S001175","Jackie Speier","minority",4,"Member","HLIG03"
"H001055","Joseph J. Heck","majority",1,"Chair","HLIG04"
"M001144","Jeff Miller","majority",2,"Member","HLIG04"
"R000435","Ileana Ros-Lehtinen","majority",3,"Member","HLIG04"
"T000463","Michael R. Turner","majority",4,"Member","HLIG04"
"W000815","Brad R. Wenstrup","majority",5,"Member","HLIG04"
"S001192","Chris Stewart","majority",6,"Member","HLIG04"
"S001185","Terri A. Sewell","minority",1,"Ranking Member","HLIG04"
"G000535","Luis V. Gutiérrez","minority",2,"Member","HLIG04"
"S001193","Eric Swalwell","minority",3,"Member","HLIG04"
"M001191","Patrick Murphy","minority",4,"Member","HLIG04"
"G000566","Trey Gowdy","majority",1,"Chair","HLZI"
"W000796","Lynn A. Westmoreland","majority",2,"Member","HLZI"
"J000289","Jim Jordan","majority",3,"Member","HLZI"
"R000580","Peter J. Roskam","majority",4,"Member","HLZI"
"P000602","Mike Pompeo","majority",5,"Member","HLZI"
"R000591","Martha Roby","majority",6,"Member","HLZI"
"B001284","Susan W. Brooks","majority",7,"Member","HLZI"
"C000984","Elijah E. Cummings","minority",1,"Ranking Member","HLZI"
"S000510","Adam Smith","minority",2,"Member","HLZI"
"S001150","Adam B. Schiff","minority",3,"Member","HLZI"
"S001156","Linda T. Sánchez","minority",4,"Member","HLZI"
"D000622","Tammy Duckworth","minority",5,"Member","HLZI"
"C001062","K. Michael Conaway","majority",1,"Chair","HSAG"
"G000289","Bob Goodlatte","majority",2,"Member","HSAG"
