"name","name-matched","type","state","party","committee-id","committee","title","rank","score"
"Crapo, Mike","Mike Crapo","Senator","ID","R","JSTX","Joint Committee on Taxation","Member",3,2036
"Crapo, Mike","Mike Crapo","Senator","ID","R","SLIA","Senate Committee on Indian Affairs","Member",7,2036
"Crapo, Mike","Mike Crapo","Senator","ID","R","SSBK","Senate Committee on Banking, Housing, and Urban Affairs","Member",2,2036
"Crapo, Mike","Mike Crapo","Senator","ID","R","SSBK04","Securities, Insurance, and Investment","Chairman",1,2036
"Crapo, Mike","Mike Crapo","Senator","ID","R","SSBK08","Financial Institutions and Consumer Protection","Member",2,2036
"Crapo, Mike","Mike Crapo","Senator","ID","R","SSBK09","Housing, Transportation, and Community Development","Member",2,2036
"Crapo, Mike","Mike Crapo","Senator","ID","R","SSBU","Senate Committee on the Budget","Member",4,2036
"Crapo, Mike","Mike Crapo","Senator","ID","R","SSEV","Senate Committee on Environment and Public Works","Member",5,2036
"Crapo, Mike","Mike Crapo","Senator","ID","R","SSEV08","Transportation and Infrastructure","Member",4,2036
"Crapo, Mike","Mike Crapo","Senator","ID","R","SSEV09","Superfund, Waste Management, and Regulatory Oversight","Ranking Member",3,2036
"Crapo, Mike","Mike Crapo","Senator","ID","R","SSEV10","Clean Air and Nuclear Safety","Member",4,2036
"Crapo, Mike","Mike Crapo","Senator","ID","R","SSFI","Senate Committee on Finance","Member",3,2036
"Crapo, Mike","Mike Crapo","Senator","ID","R","SSFI11","Taxation and IRS Oversight","Chairman",1,2036
"Crapo, Mike","Mike Crapo","Senator","ID","R","SSFI12","Energy, Natural Resources, and Infrastructure","Member",3,2036
"Crapo, Mike","Mike Crapo","Senator","ID","R","SSFI14","Fiscal Responsibility and Economic Growth","Member",2,2036
"Toomey, Pat","Patrick J. Toomey","Senator","PA","R","SSBK","Senate Committee on Banking, Housing, and Urban Affairs","Member",5,132
"Toomey, Pat","Patrick J. Toomey","Senator","PA","R","SSBK04","Securities, Insurance, and Investment","Member",4,132
"Toomey, Pat","Patrick J. Toomey","Senator","PA","R","SSBK08","Financial Institutions and Consumer Protection","Chairman",1,132
"Toomey, Pat","Patrick J. Toomey","Senator","PA","R","SSBK12","Economic Policy","Member",2,132
"Toomey, Pat","Patrick J. Toomey","Senator","PA","R","SSBU","Senate Committee on the Budget","Member",7,132
"Toomey, Pat","Patrick J. Toomey","Senator","PA","R","SSFI","Senate Committee on Finance","Member",11,132
"Toomey, Pat","Patrick J. Toomey","Senator","PA","R","SSFI02","Social Security, Pensions, and Family Policy","Member",3,132
"Toomey, Pat","Patrick J. Toomey","Senator","PA","R","SSFI10","Health Care","Chairman",1,132
"Toomey, Pat","Patrick J. Toomey","Senator","PA","R","SSFI11","Taxation and IRS Oversight","Member",8,132
"Murray, Patty","Patty Murray","Senator","WA","D","SSAP","Senate Committee on Appropriations","Member",3,8178
"Murray, Patty","Patty Murray","Senator","WA","D","SSAP02","Department of Defense","Member",5,8178
"Murray, Patty","Patty Murray","Senator","WA","D","SSAP14","Department of Homeland Security","Member",3,8178
"Murray, Patty","Patty Murray","Senator","WA","D","SSAP18","Departments of Labor, Health and Human Services, and Education, and Related Agencies","Ranking Member",1,8178
"Murray, Patty","Patty Murray","Senator","WA","D","SSAP19","Military Construction and Veterans Affairs, and Related Agencies","Member",2,8178
"Murray, Patty","Patty Murray","Senator","WA","D","SSAP22","Energy and Water Development","Member",2,8178
"Murray, Patty","Patty Murray","Senator","WA","D","SSAP24","Transportation, Housing and Urban Development, and Related Agencies","Member",3,8178
"Murray, Patty","Patty Murray","Senator","WA","D","SSBU","Senate Committee on the Budget","Member",2,8178
"Murray, Patty","Patty Murray","Senator","WA","D","SSHR","Senate Committee on Health, Education, Labor, and Pensions","Ranking Member",1,8178
"Murray, Patty","Patty Murray","Senator","WA","D","SSHR09","Children and Families","Ex Officio",6,8178
"Murray, Patty","Patty Murray","Senator","WA","D","SSHR11","Employment and Workplace Safety","Ex Officio",5,8178
"Murray, Patty","Patty Murray","Senator","WA","D","SSHR12","Primary Health and Retirement Security","Ex Officio",8,8178
"Murray, Patty","Patty Murray","Senator","WA","D","SSVA","Senate Committee on Veterans' Affairs","Member",2,8178
"Schumer, Charles E","Charles E. Schumer","Senator","NY","D","JSLC","Joint Committee on the Library","Member",1,1515
"Schumer, Charles E","Charles E. Schumer","Senator","NY","D","JSPR","Joint Committee on Printing","Member",1,1515
"Schumer, Charles E","Charles E. Schumer","Senator","NY","D","SCNC","United States Senate Caucus on International Narcotics Control","Member",2,1515
"Schumer, Charles E","Charles E. Schumer","Senator","NY","D","SSBK","Senate Committee on Banking, Housing, and Urban Affairs","Member",3,1515
"Schumer, Charles E","Charles E. Schumer","Senator","NY","D","SSBK04","Securities, Insurance, and Investment","Member",3,1515
"Schumer, Charles E","Charles E. Schumer","Senator","NY","D","SSBK08","Financial Institutions and Consumer Protection","Member",3,1515
"Schumer, Charles E","Charles E. Schumer","Senator","NY","D","SSBK09","Housing, Transportation, and Community Development","Member",3,1515
"Schumer, Charles E","Charles E. Schumer","Senator","NY","D","SSFI","Senate Committee on Finance","Member",2,1515
"Schumer, Charles E","Charles E. Schumer","Senator","NY","D","SSFI02","Social Security, Pensions, and Family Policy","Member",2,1515
"Schumer, Charles E","Charles E. Schumer","Senator","NY","D","SSFI11","Taxation and IRS Oversight","Member",2,1515
"Schumer, Charles E","Charles E. Schumer","Senator","NY","D","SSFI13","International Trade, Customs, and Global Competitiveness","Member",2,1515
"Schumer, Charles E","Charles E. Schumer","Senator","NY","D","SSJU","Senate Committee on the Judiciary","Member",3,1515
"Schumer, Charles E","Charles E. Schumer","Senator","NY","D","SSJU04","Immigration and the National Interest","Ranking Member",1,1515
"Schumer, Charles E","Charles E. Schumer","Senator","NY","D","SSJU22","Crime and Terrorism","Member",2,1515
"Schumer, Charles E","Charles E. Schumer","Senator","NY","D","SSJU23","Privacy, Technology and the Law","Member",3,1515
"Schumer, Charles E","Charles E. Schumer","Senator","NY","D","SSJU25","Oversight, Agency Action, Federal Rights and Federal Courts","Member",4,1515
"Schumer, Charles E","Charles E. Schumer","Senator","NY","D","SSRA","Senate Committee on Rules and Administration","Ranking Member",1,1515
"Blunt, Roy","Roy Blunt","Senator","MO","R","JSLC","Joint Committee on the Library","Chairman",1,1013
"Blunt, Roy","Roy Blunt","Senator","MO","R","JSPR","Joint Committee on Printing","Vice Chairman",1,1013
"Blunt, Roy","Roy Blunt","Senator","MO","R","SLIN","Senate Select Committee on Intelligence","Member",6,1013
"Blunt, Roy","Roy Blunt","Senator","MO","R","SSAP","Senate Committee on Appropriations","Member",9,1013
"Blunt, Roy","Roy Blunt","Senator","MO","R","SSAP01","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","Member",2,1013
"Blunt, Roy","Roy Blunt","Senator","MO","R","SSAP02","Department of Defense","Member",8,1013
"Blunt, Roy","Roy Blunt","Senator","MO","R","SSAP17","Department of the Interior, Environment, and Related Agencies","Member",4,1013
"Blunt, Roy","Roy Blunt","Senator","MO","R","SSAP18","Departments of Labor, Health and Human Services, and Education, and Related Agencies","Chairman",1,1013
"Blunt, Roy","Roy Blunt","Senator","MO","R","SSAP20","State, Foreign Operations, and Related Programs","Member",4,1013
"Blunt, Roy","Roy Blunt","Senator","MO","R","SSAP24","Transportation, Housing and Urban Development, and Related Agencies","Member",5,1013
"Blunt, Roy","Roy Blunt","Senator","MO","R","SSCM","Senate Committee on Commerce, Science, and Transportation","Member",3,1013
"Blunt, Roy","Roy Blunt","Senator","MO","R","SSCM01","Aviation Operations, Safety, and Security","Member",3,1013
"Blunt, Roy","Roy Blunt","Senator","MO","R","SSCM20","Consumer Protection, Product Safety, Insurance, and Data Security","Member",2,1013
"Blunt, Roy","Roy Blunt","Senator","MO","R","SSCM25","Surface Transportation and Merchant Marine Infrastructure, Safety and Security","Member",3,1013
"Blunt, Roy","Roy Blunt","Senator","MO","R","SSCM26","Communications, Technology, Innovation, and the Internet","Member",2,1013
"Blunt, Roy","Roy Blunt","Senator","MO","R","SSRA","Senate Committee on Rules and Administration","Chairman",1,1013
"Burr, Richard","Richard Burr","Senator","NC","R","JCSE","Commission on Security and Cooperation in Europe","Member",2,8178
"Burr, Richard","Richard Burr","Senator","NC","R","SLIN","Senate Select Committee on Intelligence","Chairman",1,8178
"Burr, Richard","Richard Burr","Senator","NC","R","SSFI","Senate Committee on Finance","Member",8,8178
"Burr, Richard","Richard Burr","Senator","NC","R","SSFI10","Health Care","Member",5,8178
"Burr, Richard","Richard Burr","Senator","NC","R","SSFI12","Energy, Natural Resources, and Infrastructure","Member",7,8178
"Burr, Richard","Richard Burr","Senator","NC","R","SSFI14","Fiscal Responsibility and Economic Growth","Member",3,8178
"Burr, Richard","Richard Burr","Senator","NC","R","SSHR","Senate Committee on Health, Education, Labor, and Pensions","Member",3,8178
"Burr, Richard","Richard Burr","Senator","NC","R","SSHR09","Children and Families","Member",3,8178
"Burr, Richard","Richard Burr","Senator","NC","R","SSHR12","Primary Health and Retirement Security","Member",2,8178
"Graves, Sam","Sam Graves","Representative","MO","R","HSAS","House Committee on Armed Services","Member",30,2036
"Graves, Sam","Sam Graves","Representative","MO","R","HSAS03","Readiness","Member",11,2036
"Graves, Sam","Sam Graves","Representative","MO","R","HSAS25","Tactical Air and Land Forces","Member",8,2036
"Graves, Sam","Sam Graves","Representative","MO","R","HSPW","House Committee on Transportation and Infrastructure","Member",6,2036
"Graves, Sam","Sam Graves","Representative","MO","R","HSPW05","Aviation","Member",5,2036
"Graves, Sam","Sam Graves","Representative","MO","R","HSPW12","Highways and Transit","Chair",1,2036
"Graves, Sam","Sam Graves","Representative","MO","R","HSPW14","Railroads, Pipelines, and Hazardous Materials","Member",4,2036
"Tiberi, Patrick J","Patrick J. Tiberi","Representative","OH","R","HSWM","House Committee on Ways and Means","Member",4,1260
"Tiberi, Patrick J","Patrick J. Tiberi","Representative","OH","R","HSWM02","Health","Chair",2,1260
"Tiberi, Patrick J","Patrick J. Tiberi","Representative","OH","R","HSWM05","Tax Policy","Member",3,1260
"Walden, Greg","Greg Walden","Representative","OR","R","HSIF","House Committee on Energy and Commerce","Member",6,4083
"Walden, Greg","Greg Walden","Representative","OR","R","HSIF16","Communications and Technology","Chair",1,4083
"Wyden, Ron","Ron Wyden","Senator","OR","D","JSTX","Joint Committee on Taxation","Member",1,1013
