"delegate","delegate-matched","type","state","party","value","pac","committee-id","committee","title","rank","score"
"Bachus, Spencer","Spencer Bachus","Representative","AL","R",1000,"Allianz of America","HLIG","House Permanent Select Committee on Intelligence","Member",9,32752
"Barr, Andy","Andy Barr","Representative","KY","R",1400,"Allianz of America","HSBA","House Committee on Financial Services","Member",24,1013
"Barr, Andy","Andy Barr","Representative","KY","R",1400,"Allianz of America","HSBA04","Housing and Insurance","Member",10,1013
"Barr, Andy","Andy Barr","Representative","KY","R",1400,"Allianz of America","HSBA15","Financial Institutions and Consumer Credit","Member",11,1013
"Capuano, Michael E","Michael E. Capuano","Representative","MA","D",1000,"Allianz of America","HSBA","House Committee on Financial Services","Member",6,1515
"Capuano, Michael E","Michael E. Capuano","Representative","MA","D",1000,"Allianz of America","HSBA04","Housing and Insurance","Member",3,1515
"Capuano, Michael E","Michael E. Capuano","Representative","MA","D",1000,"Allianz of America","HSBA09","Oversight and Investigations","Member",2,1515
"Capuano, Michael E","Michael E. Capuano","Representative","MA","D",1000,"Allianz of America","HSBA15","Financial Institutions and Consumer Credit","Member",9,1515
"Capuano, Michael E","Michael E. Capuano","Representative","MA","D",1000,"Allianz of America","HSPW","House Committee on Transportation and Infrastructure","Member",8,1515
"Capuano, Michael E","Michael E. Capuano","Representative","MA","D",1000,"Allianz of America","HSPW05","Aviation","Member",11,1515
"Capuano, Michael E","Michael E. Capuano","Representative","MA","D",1000,"Allianz of America","HSPW12","Highways and Transit","Member",17,1515
"Capuano, Michael E","Michael E. Capuano","Representative","MA","D",1000,"Allianz of America","HSPW14","Railroads, Pipelines, and Hazardous Materials","Ranking Member",1,1515
"Capuano, Michael E","Michael E. Capuano","Representative","MA","D",1000,"Allianz of America","HSSO","House Committee on Ethics","Member",2,1515
"Carney, John","John C. Carney Jr.","Representative","DE","D",700,"Allianz of America","HSBA","House Committee on Financial Services","Member",17,177
"Carney, John","John C. Carney Jr.","Representative","DE","D",700,"Allianz of America","HSBA16","Capital Markets and Government Sponsored Enterprises","Member",11,177
"Carney, John","John C. Carney Jr.","Representative","DE","D",700,"Allianz of America","HSBA20","Monetary Policy and Trade","Member",5,177
"Costa, Jim","Jim Costa","Representative","CA","D",2000,"Allianz of America","HSAG","House Committee on Agriculture","Member",3,1013
"Costa, Jim","Jim Costa","Representative","CA","D",2000,"Allianz of America","HSAG16","General Farm Commodities and Risk Management","Member",6,1013
"Costa, Jim","Jim Costa","Representative","CA","D",2000,"Allianz of America","HSAG29","Livestock and Foreign Agriculture","Ranking Member",1,1013
"Costa, Jim","Jim Costa","Representative","CA","D",2000,"Allianz of America","HSII","House Committee on Natural Resources","Member",4,1013
"Costa, Jim","Jim Costa","Representative","CA","D",2000,"Allianz of America","HSII06","Energy and Mineral Resources","Member",2,1013
"Costa, Jim","Jim Costa","Representative","CA","D",2000,"Allianz of America","HSII13","Water, Power and Oceans","Member",3,1013
"DeSantis, Ron","Ron DeSantis","Representative","FL","R",700,"Allianz of America","HSFA","House Committee on Foreign Affairs","Member",17,8178
"DeSantis, Ron","Ron DeSantis","Representative","FL","R",700,"Allianz of America","HSFA07","The Western Hemisphere","Member",6,8178
"DeSantis, Ron","Ron DeSantis","Representative","FL","R",700,"Allianz of America","HSFA13","The Middle East and North Africa","Member",6,8178
"DeSantis, Ron","Ron DeSantis","Representative","FL","R",700,"Allianz of America","HSGO","House Committee on Oversight and Government Reform","Member",15,8178
"DeSantis, Ron","Ron DeSantis","Representative","FL","R",700,"Allianz of America","HSGO06","National Security","Chair",1,8178
"DeSantis, Ron","Ron DeSantis","Representative","FL","R",700,"Allianz of America","HSGO27","Health Care, Benefits and Administrative Rules","Member",7,8178
"DeSantis, Ron","Ron DeSantis","Representative","FL","R",700,"Allianz of America","HSJU","House Committee on the Judiciary","Member",18,8178
"DeSantis, Ron","Ron DeSantis","Representative","FL","R",700,"Allianz of America","HSJU03","Courts, Intellectual Property, and the Internet","Member",13,8178
"DeSantis, Ron","Ron DeSantis","Representative","FL","R",700,"Allianz of America","HSJU10","The Constitution and Civil Justice","Vice Chair",2,8178
"Duffy, Sean P","Sean P. Duffy","Representative","WI","R",1700,"Allianz of America","HSBA","House Committee on Financial Services","Member",14,240
"Duffy, Sean P","Sean P. Duffy","Representative","WI","R",1700,"Allianz of America","HSBA09","Oversight and Investigations","Chair",1,240
"Duffy, Sean P","Sean P. Duffy","Representative","WI","R",1700,"Allianz of America","HSBA16","Capital Markets and Government Sponsored Enterprises","Member",8,240
"Duffy, Sean P","Sean P. Duffy","Representative","WI","R",1700,"Allianz of America","JSEC","Joint Economic Committee","Member",3,240
"Emmer, Tom","Tom Emmer","Representative","MN","R",2200,"Allianz of America","HSBA","House Committee on Financial Services","Member",34,1013
"Emmer, Tom","Tom Emmer","Representative","MN","R",2200,"Allianz of America","HSBA15","Financial Institutions and Consumer Credit","Member",17,1013
"Emmer, Tom","Tom Emmer","Representative","MN","R",2200,"Allianz of America","HSBA20","Monetary Policy and Trade","Member",12,1013
"Fitzpatrick, Michael G","Michael G. Fitzpatrick","Representative","PA","R",1750,"Allianz of America","HSBA","House Committee on Financial Services","Member",10,9191
"Fitzpatrick, Michael G","Michael G. Fitzpatrick","Representative","PA","R",1750,"Allianz of America","HSBA09","Oversight and Investigations","Vice Chair",2,9191
"Fitzpatrick, Michael G","Michael G. Fitzpatrick","Representative","PA","R",1750,"Allianz of America","HSBA15","Financial Institutions and Consumer Credit","Member",5,9191
"Foster, Bill","Bill Foster","Representative","IL","D",800,"Allianz of America","HSBA","House Committee on Financial Services","Member",19,4083
"Foster, Bill","Bill Foster","Representative","IL","D",800,"Allianz of America","HSBA16","Capital Markets and Government Sponsored Enterprises","Member",9,4083
"Foster, Bill","Bill Foster","Representative","IL","D",800,"Allianz of America","HSBA20","Monetary Policy and Trade","Member",2,4083
"Foster, Bill","Bill Foster","Representative","IL","D",800,"Allianz of America","HSSY","House Committee on Science, Space, and Technology","Member",16,4083
"Foster, Bill","Bill Foster","Representative","IL","D",800,"Allianz of America","HSSY18","Environment","Member",6,4083
"Garrett, Scott","Scott Garrett","Representative","NJ","R",1000,"Allianz of America","HSBA","House Committee on Financial Services","Member",5,16369
"Garrett, Scott","Scott Garrett","Representative","NJ","R",1000,"Allianz of America","HSBA04","Housing and Insurance","Member",4,16369
"Garrett, Scott","Scott Garrett","Representative","NJ","R",1000,"Allianz of America","HSBA16","Capital Markets and Government Sponsored Enterprises","Chair",1,16369
"Garrett, Scott","Scott Garrett","Representative","NJ","R",1000,"Allianz of America","HSBU","House Committee on the Budget","Member",2,16369
